,predict data,true data
0,623.71533,608.66
1,623.23694,598.88
2,620.6074,597.42
3,615.55347,594.08
4,610.2783,603.88
5,608.48157,601.74
6,609.2993,598.98
7,611.76843,605.96
8,615.34753,605.67
9,619.0858,603.85
10,619.73267,609.39
11,620.9668,614.82
12,623.0797,612.98
13,627.3172,611.85
14,628.6831,609.62
15,627.32184,607.18
16,625.652,612.08
17,623.9355,617.21
18,624.2849,614.74
19,626.70416,615.65
20,629.685,617.54
21,631.6105,614.77
22,631.97595,635.01
23,636.25385,635.96
24,642.7198,634.02
25,649.2896,637.94
26,654.6559,641.42
27,657.34155,638.97
28,657.8574,636.29
29,655.8656,629.25
30,649.63873,627.72
31,646.403,631.92
32,643.17316,655.48
33,647.97876,653.25
34,658.04694,651.39
35,667.5698,655.31
36,673.77313,651.45
37,675.2226,682.22
38,680.17773,687.68
39,689.45447,685.91
40,698.7597,698.0
41,712.2272,702.0
42,720.0448,697.01
43,721.9721,733.33
44,729.88727,686.17
45,725.65125,683.69
46,719.9333,704.79
47,713.8698,712.0
48,713.0462,709.96
49,718.34546,708.97
50,723.6744,720.93
51,729.2544,721.5
52,742.1371,715.45
53,738.5559,703.71
54,731.3712,702.28
55,725.81213,706.46
56,720.8468,710.91
57,718.6568,711.73
58,719.69684,736.96
59,731.5439,747.52
60,749.01404,748.98
61,764.71313,729.06
62,767.49176,738.53
63,764.577,736.97
64,759.4957,741.63
65,755.41736,737.45
66,751.27496,735.64
67,752.3912,733.67
68,752.9598,727.96
69,751.2203,727.31
70,744.66785,732.71
71,743.66394,742.69
72,746.8655,742.05
73,753.5872,772.43
74,767.1048,764.33
75,780.57886,762.97
76,788.7564,754.63
77,787.60815,756.62
78,781.9014,758.99
79,776.53937,769.72
80,776.5587,770.02
81,778.34247,769.08
82,786.756,777.0
83,791.8859,777.0
84,796.1917,777.99
85,797.13055,774.89
86,796.6489,776.75
87,795.24133,775.88
88,795.15436,788.7
89,797.3925,788.4
90,801.101,788.67
91,806.26514,793.09
92,810.3572,824.21
93,821.64606,834.97
94,837.4736,901.31
95,870.2895,891.61
96,902.5308,892.6
97,927.1085,897.33
98,936.03973,930.37
99,941.8788,930.34
100,945.54565,963.38
101,961.501,952.15
102,971.1143,958.12
103,990.7437,997.72
104,1002.3286,1015.97
105,1019.0059,1013.42
106,1033.1526,1126.76
107,1077.6796,994.67
108,1087.9363,999.65
109,1079.3639,896.83
110,1021.92755,908.14
111,956.0304,910.49
112,909.0182,906.05
113,883.2047,785.22
114,844.7435,780.92
115,808.96674,826.29
116,792.6305,817.91
117,791.44727,819.55
118,798.6889,830.5
119,817.1648,903.84
120,861.36365,906.6
121,914.0418,895.798875
122,927.0609,893.6210875
123,931.64844,895.64
124,938.4007,918.603625
125,934.0271,922.0736125
126,932.0287,919.97
127,931.99945,893.045625
128,938.6244,915.95625
129,937.0952,915.05
130,933.78345,920.31225
131,933.3224,915.933
132,933.7604,912.19
133,937.0998,964.706075
134,951.959,979.703875
135,976.38916,983.42
136,995.0801,1013.0269999999999
137,1022.86694,1030.999413
138,1046.4009,1034.07
139,1064.0667,1024.01375
140,1066.4337,1050.11
141,1064.4016,1052.84
142,1075.6549,976.1030000000001
143,1059.3158,999.1035
144,1033.8757,997.59
145,1016.7999,1000.604625
146,1008.5949,999.877375
147,1007.5362,1001.2
148,1010.16284,1012.325988
149,1023.4257,1035.208125
150,1043.8243,1035.2
151,1049.5566,1056.637138
152,1067.8706,1052.779286
153,1080.4043,1050.87
154,1086.5947,1123.788429
155,1105.0272,1123.2231880000002
156,1128.7955,1130.01
157,1151.695,1174.86625
158,1181.2489,1150.605714
159,1195.4929,1150.37
160,1201.1414,1190.75195
161,1202.4177,1187.565286
162,1202.7358,1190.89
163,1219.9774,1259.410817
164,1241.4725,1285.14
165,1275.4337,1287.0
166,1316.8888,1270.9333
167,1328.3577,1275.197375
