,predict data,true data
0,1315.6914,1313.8
1,1315.9595,1326.1
2,1318.4823,1339.1
3,1323.8439,1338.65
4,1329.1357,1338.65
5,1334.268,1338.65
6,1338.0607,1340.5
7,1340.4236,1327.0
8,1340.4609,1322.5
9,1337.1947,1318.1
10,1333.6266,1322.5
11,1331.0153,1322.5
12,1328.5897,1322.5
13,1327.4019,1313.3
14,1325.9558,1283.3
15,1320.6478,1269.4
16,1309.6306,1254.5
17,1296.1399,1258.75
18,1283.4023,1258.75
19,1274.567,1258.75
20,1269.1199,1259.5
21,1267.1145,1253.45
22,1265.8231,1256.5
23,1263.1636,1261.05
24,1262.5269,1251.75
25,1260.7223,1251.75
26,1259.9298,1251.75
27,1258.6952,1254.8
28,1258.0518,1258.2
29,1258.5258,1269.05
30,1260.3309,1271.65
31,1264.323,1266.05
32,1268.0875,1266.05
33,1269.3501,1266.05
34,1270.1532,1265.55
35,1270.0375,1269.4
36,1270.2181,1270.5
37,1270.7916,1266.25
38,1271.9196,1273.0
39,1273.1034,1273.0
40,1273.8195,1273.0
41,1274.9138,1272.0
42,1275.6241,1288.45
43,1278.0433,1303.75
44,1283.9972,1301.0
45,1290.6525,1302.8
46,1296.1233,1302.8
47,1301.1442,1302.8
48,1303.9198,1283.05
49,1302.4869,1282.35
50,1297.998,1281.4
51,1294.3152,1267.5
52,1289.7491,1236.45
53,1279.6713,1236.45
54,1268.5876,1236.45
55,1258.7316,1213.6
56,1248.7059,1226.95
57,1239.4221,1229.2
58,1235.3474,1226.75
59,1234.1322,1211.0
60,1231.2593,1211.0
61,1225.6036,1211.0
62,1222.4532,1214.25
63,1220.5085,1212.25
64,1216.8873,1185.35
65,1213.5739,1186.1
66,1208.0773,1187.7
67,1202.6401,1187.7
68,1197.0078,1187.7
69,1194.1343,1187.0
70,1192.6617,1186.55
71,1192.6306,1178.1
72,1191.7859,1161.85
73,1185.5695,1173.5
74,1181.6057,1173.5
75,1178.9619,1173.5
76,1177.5222,1162.2
77,1175.6525,1172.5
78,1174.8552,1177.65
79,1175.8802,1171.05
80,1176.1989,1163.6
81,1173.9751,1163.6
82,1173.2833,1163.6
83,1171.5402,1156.1
84,1169.077,1158.55
85,1165.4744,1162.25
86,1164.9364,1126.95
87,1160.6675,1131.6
88,1153.7411,1131.6
89,1146.821,1131.6
90,1141.9222,1136.25
91,1139.4984,1125.7
92,1136.9005,1133.65
93,1136.6632,1131.35
94,1137.65,1131.35
95,1134.8,1131.35
96,1135.0886,1131.35
97,1135.0463,1131.35
98,1135.0225,1131.35
99,1135.5571,1134.6
100,1134.9937,1145.9
101,1137.8328,1145.9
102,1140.8022,1145.9
