,predict data,true data
0,625.6916,608.66
1,624.58105,598.88
2,622.1083,597.42
3,616.98334,594.08
4,611.82733,603.88
5,609.92584,601.74
6,610.6557,598.98
7,613.5468,605.96
8,617.16876,605.67
9,620.8876,603.85
10,620.99603,609.39
11,622.0722,614.82
12,623.88556,612.98
13,628.59424,611.85
14,629.81506,609.62
15,628.2511,607.18
16,626.891,612.08
17,625.0463,617.21
18,625.1676,614.74
19,627.8642,615.65
20,631.1907,617.54
21,633.02826,614.77
22,633.3192,635.01
23,637.29486,635.96
24,643.4787,634.02
25,650.2663,637.94
26,655.8535,641.42
27,658.2681,638.97
28,658.64514,636.29
29,656.5631,629.25
30,650.0493,627.72
31,647.7953,631.92
32,644.55194,655.48
33,649.06604,653.25
34,659.3343,651.39
35,669.1758,655.31
36,675.30035,651.45
37,676.5377,682.22
38,680.73114,687.68
39,689.5608,685.91
40,698.8981,698.0
41,713.3653,702.0
42,720.87494,697.01
43,722.44574,733.33
44,729.99255,686.17
45,725.4179,683.69
46,721.03143,704.79
47,714.9253,712.0
48,713.6325,709.96
49,719.4531,708.97
50,725.09125,720.93
51,730.43744,721.5
52,745.4625,715.45
53,739.179,703.71
54,731.7072,702.28
55,727.0878,706.46
56,722.389,710.91
57,719.9655,711.73
58,720.9431,736.96
59,733.45233,747.52
60,750.96106,748.98
61,766.34625,729.06
62,768.58136,738.53
63,765.3695,736.97
64,760.09155,741.63
65,755.8032,737.45
66,751.4406,735.64
67,753.8465,733.67
68,755.12897,727.96
69,753.59186,727.31
70,745.9084,732.71
71,745.3921,742.69
72,748.4701,742.05
73,755.5245,772.43
74,768.7154,764.33
75,782.08386,762.97
76,790.1567,754.63
77,788.6228,756.62
78,782.5841,758.99
79,777.10046,769.72
80,777.27435,770.02
81,778.8575,769.08
82,788.99304,777.0
83,793.7014,777.0
84,797.87634,777.99
85,798.2381,774.89
86,797.718,776.75
87,796.2844,775.88
88,796.659,788.7
89,798.747,788.4
90,802.2964,788.67
91,807.8699,793.09
92,811.9294,824.21
93,823.0004,834.97
94,838.3816,901.31
95,870.7495,891.61
96,902.769,892.6
97,927.81915,897.33
98,936.40063,930.37
99,941.39014,930.34
100,944.3288,963.38
101,960.5227,952.15
102,970.0966,958.12
103,992.2618,997.72
104,1002.79266,1015.97
105,1018.8124,1013.42
106,1032.6791,1126.76
107,1077.6412,994.67
108,1088.0878,999.65
109,1080.7938,896.83
110,1022.6024,908.14
111,955.9781,910.49
112,910.43677,906.05
113,886.0868,785.22
114,849.57495,780.92
115,826.51105,826.29
116,801.07587,817.91
117,801.8459,819.55
118,802.3986,830.5
119,822.9303,903.84
120,867.98425,906.6
121,920.6371,895.798875
122,927.0931,893.6210875
123,931.3214,895.64
124,939.3221,918.603625
125,933.6955,922.0736125
126,930.8569,919.97
127,930.72125,893.045625
128,940.8213,915.95625
129,939.35205,915.05
130,935.16754,920.31225
131,934.2922,915.933
132,934.73254,912.19
133,939.4134,964.706075
134,954.2287,979.703875
135,978.2316,983.42
136,995.41296,1013.0269999999999
137,1024.035,1030.999413
138,1047.1534,1034.07
139,1064.5712,1024.01375
140,1066.241,1050.11
141,1063.254,1052.84
142,1075.8372,976.1030000000001
143,1060.0499,999.1035
144,1034.3484,997.59
145,1018.3595,1000.604625
146,1011.03534,999.877375
147,1010.35693,1001.2
148,1012.791,1012.325988
149,1028.1621,1035.208125
150,1048.9918,1035.2
151,1050.289,1056.637138
152,1069.5427,1052.779286
153,1081.8448,1050.87
154,1087.9824,1123.788429
155,1105.5969,1123.2231880000002
156,1128.8226,1130.01
157,1151.8872,1174.86625
158,1181.927,1150.605714
159,1195.8119,1150.37
160,1201.8098,1190.75195
161,1201.9408,1187.565286
162,1201.2562,1190.89
163,1221.1006,1259.410817
164,1241.8297,1285.14
165,1275.4613,1287.0
166,1318.7008,1270.9333
167,1328.8984,1275.197375
168,1325.9672,1279.5
169,1325.8019,1157.3933
170,1280.707,1192.469143
171,1228.6685,1192.09
172,1203.7998,1179.159875
173,1189.7771,1227.494625
174,1199.9388,1227.68
175,1223.8793,1245.370786
176,1259.1428,1257.399625
177,1295.4398,1257.0
178,1289.4291,1091.171888
179,1257.1913,952.2323625
180,1152.4354,967.69
181,1029.1874,1049.0844880000002
182,965.0596,1118.630043
183,974.5947,1113.0
184,1038.2515,1038.789
185,1098.677,941.9197142999999
186,1109.2908,927.93
187,1045.637,956.7863125
188,960.1339,1037.22925
189,942.5003,1041.04
190,980.38226,1040.5755
191,1041.2644,1037.90455
192,1090.4553,1034.74
193,1103.4072,1086.9295710000001
194,1091.6227,1099.169125
195,1093.8983,1079.99
196,1103.1924,1141.600363
197,1139.3608,1133.079314
198,1161.0662,1133.53
199,1172.7025,1190.45425
200,1187.8025,1181.149838
201,1199.4341,1184.03
202,1220.9316,1207.744875
203,1233.3408,1226.617038
204,1237.1088,1219.09
205,1257.803,1180.023713
206,1247.2997,1185.260057
207,1227.527,1170.36
208,1217.6866,1186.9274130000001
209,1202.4852,1205.634875
210,1202.109,1176.97
211,1208.8258,1217.930088
212,1226.317,1241.686325
213,1249.8997,1236.63
214,1263.3423,1261.311225
215,1282.9249,1257.988113
216,1291.6906,1240.84
217,1295.0302,1279.414688
218,1301.3453,1309.109875
219,1304.7324,1288.02
220,1322.0275,1331.2944289999998
221,1343.7229,1334.9790380000002
222,1359.6274,1333.0
223,1376.4861,1417.1728130000001
224,1401.291,1452.076288
225,1433.794,1447.55
226,1477.0238,1508.292125
227,1522.2269,1533.3350710000002
228,1549.7499,1518.75
229,1578.162,1535.8684289999999
230,1582.9492,1640.619225
231,1600.1022,1651.1
232,1653.7455,1762.88625
233,1722.1127,1820.9905629999998
234,1792.2667,1829.0
235,1870.3597,1771.920013
236,1896.8262,1776.3165
237,1871.2081,1780.0
238,1834.706,1739.031975
239,1813.1301,1807.4850629999999
240,1789.2286,1783.98
241,1805.5333,1961.520488
242,1872.5254,2052.909788
243,1982.7401,2008.84
244,2063.705,2090.662313
245,2135.4663,2287.7102879999998
246,2226.504,2256.32
247,2281.9233,2387.206286
248,2369.1187,2211.976857
249,2358.2852,2279.82
250,2383.1992,2192.9808
251,2348.5916,2275.9307
252,2282.3284,2290.02
253,2271.2512,2285.933914
254,2315.211,2399.242671
255,2358.3953,2409.93
256,2452.8772,2525.7651579999997
257,2501.8774,2516.173143
258,2583.841,2529.53
259,2600.2861,2883.313697
260,2722.04,2664.920863
261,2795.5308,2683.03
262,2808.0469,2827.4913
263,2853.4204,2845.372857
264,2873.9387,2898.63
265,2931.7144,2657.6750629999997
266,2888.2246,2748.185086
267,2822.5637,2706.0
268,2840.6655,2442.48025
269,2687.6953,2464.9598140000003
270,2551.2837,2477.94
271,2479.1907,2507.389252
272,2457.5852,2617.210263
273,2524.4172,2600.0
274,2579.7751,2671.04325
275,2692.031,2727.288013
276,2793.0496,2713.48
277,2796.6772,2589.164888
278,2780.6653,2512.366286
279,2703.9526,2502.03
280,2609.7434,2517.903114
281,2554.9744,2585.349186
282,2531.3928,2558.3
283,2559.7466,2477.641375
284,2586.3577,2501.191343
285,2597.4387,2421.26
286,2555.7659,2561.225429
287,2535.8394,2599.7298379999997
288,2562.9246,2598.89
289,2614.5107,2609.96775
290,2680.029,2491.201214
291,2681.3965,2502.86
292,2628.6985,2536.238938
293,2593.6333,2366.170143
294,2503.4187,2327.09
295,2441.3948,2385.748571
296,2396.0393,2354.783417
297,2374.973,2338.49
298,2376.869,2058.9956
299,2293.4463,1931.2143
300,2157.2505,1910.96
301,2015.6284,2320.12225
302,1993.5016,2264.7657
303,2088.6414,2265.21
304,2240.81,2682.195363
305,2479.49,2807.609857
306,2760.2603,2825.51
